,S2,SWE,Green_by_red,Blue_by_red,OTSU_ndwi_ful,OTSU_ndwi_ent,NDWI_RG_tol,NIR_RG_tol,SWIR_RG_tol
1997-11-09-23-18-25,L5,1.1016,1.4478304038225271,1.886664867985597,closed,closed,0.6,0.20500000000000002,0.155
1997-11-16-23-24-45,L5,0.4889,1.462365335343557,1.8011837839134266,closed,closed,0.6,0.20500000000000002,0.12000000000000001
1997-11-25-23-18-47,L5,1.1248,1.4687246900073316,1.8591774956768923,closed,closed,0.55,0.22,0.15
1997-12-11-23-19-12,L5,1.1608,1.536909092761836,1.9628008118827942,closed,closed,0.6,0.21000000000000002,0.155
1998-01-12-23-19-57,L5,1.1948,1.485581947865678,1.8966442552647613,closed,closed,0.6,0.185,0.14500000000000002
1998-02-04-23-26-37,L5,0.6282,1.4433278035375765,1.818122094998965,closed,closed,0.65,0.2,0.14500000000000002
1998-04-02-23-21-20,L5,1.4573,1.378247691051529,1.8107478933601158,closed,closed,0.6,0.195,0.125
1998-04-18-23-21-33,L5,1.474,1.4200476312414039,1.875683565862669,closed,closed,0.75,0.20500000000000002,0.135
1998-04-25-23-27-49,L5,0.9137,1.3960556087076383,1.7716139871850978,closed,closed,0.65,0.19,0.135
1998-05-11-23-28-05,L5,0.7196,1.5294670614134194,2.055708241343702,closed,closed,0.7,0.12000000000000001,0.049999999999999996
1998-05-27-23-28-20,L5,0.4586,1.4412390709537644,2.276472189585856,closed,closed,0.55,0.125,0.065
1998-06-05-23-22-17,L5,1.1768,1.5265702532957475,2.5667902601853916,closed,closed,0.7,0.17,0.08
1998-06-12-23-28-33,L5,0.356,1.4354987749336476,2.274060605684072,closed,closed,0.5,0.085,0.04
1998-06-28-23-28-44,L5,0.4586,1.44010057225594,2.444694913858019,closed,closed,0.7,0.19,0.1
1998-07-07-23-22-41,L5,1.1385,1.493987461081488,2.5040222885119365,closed,closed,0.65,0.19,0.1
1998-07-23-23-22-50,L5,1.1012,1.5689932425284763,2.774478478609204,closed,closed,0.65,0.13,0.06
